[GIN] 2022/07/11 - 10:36:10 | 200 |      9.6509ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 10:36:10 | 200 |     50.7855ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 10:36:15 | 200 |     36.1562ms |     172.21.96.1 | GET      "/task_batch/7d692e16-6eb9-46c7-8fa6-69fac945324c/"
[GIN] 2022/07/11 - 10:36:27 | 200 |      5.1155ms |     172.21.96.1 | PATCH    "/task_batch/cb42c8f3-baa1-4996-a5c9-61e43ad59174/"
[GIN] 2022/07/11 - 10:36:27 | 200 |     77.6994ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 10:39:06 | 200 |      5.6396ms |     172.21.96.1 | PATCH    "/task_batch/2b7b74f6-3ff2-4ed8-8d99-aca01167a6ba/"
[GIN] 2022/07/11 - 10:39:07 | 200 |     69.8611ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 10:40:34 | 200 |      8.9791ms |     172.21.96.1 | PATCH    "/task_batch/2b7b74f6-3ff2-4ed8-8d99-aca01167a6ba/"
[GIN] 2022/07/11 - 10:40:34 | 200 |     62.6527ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 10:41:17 | 200 |     10.1832ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 10:41:17 | 200 |      8.5308ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 10:41:17 | 200 |     22.7523ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 10:41:26 | 200 |     27.7102ms |     172.21.96.1 | GET      "/task_batch/7d692e16-6eb9-46c7-8fa6-69fac945324c/"
[GIN] 2022/07/11 - 10:42:57 | 200 |     65.9823ms |     172.21.96.1 | PATCH    "/task_batch/cb42c8f3-baa1-4996-a5c9-61e43ad59174/"
[GIN] 2022/07/11 - 10:42:57 | 200 |     33.8504ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 10:43:20 | 200 |      5.6551ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 10:43:20 | 200 |      3.8027ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 10:43:20 | 200 |      25.475ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 10:44:16 | 200 |     16.3774ms |     172.21.96.1 | GET      "/task_batch/7d692e16-6eb9-46c7-8fa6-69fac945324c/"
[GIN] 2022/07/11 - 10:44:23 | 200 |     88.1196ms |     172.21.96.1 | PATCH    "/task_batch/eb93190c-77dd-4f90-8ecc-0988ba79944c/"
[GIN] 2022/07/11 - 10:44:23 | 200 |     43.5715ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 10:54:26 | 200 |     22.8618ms |     172.21.96.1 | GET      "/auth/refresh/"
[GIN] 2022/07/11 - 10:54:27 | 200 |    122.3939ms |     172.21.96.1 | PATCH    "/task_batch/11138c19-2eb4-470a-823d-dd980f84beb8/"
[GIN] 2022/07/11 - 10:54:27 | 200 |     21.8149ms |     172.21.96.1 | PATCH    "/task/7d692e16-6eb9-46c7-8fa6-69fac945324c/"
