[GIN] 2022/07/14 - 18:38:43 | 200 |     9.60575ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:39:10 | 200 |   22.406875ms |  192.168.50.227 | PATCH    "/task_batch/0c614e33-2b52-4c18-a8df-540d622879c8/"
[GIN] 2022/07/14 - 18:39:10 | 200 |   12.175042ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:41:40 | 200 |    6.134625ms |  192.168.50.227 | GET      "/auth/refresh/"
[GIN] 2022/07/14 - 18:41:40 | 200 |    1.893334ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:41:40 | 200 |    1.739584ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:41:40 | 200 |      7.1465ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 18:41:42 | 200 |    1.407625ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:41:49 | 200 |    12.54175ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:41:49 | 200 |     8.05825ms |  192.168.50.227 | PATCH    "/task/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:41:59 | 200 |   19.487375ms |  192.168.50.227 | PATCH    "/task_batch/a1a47baf-c841-4d1a-be45-78cbde1bcce9/"
[GIN] 2022/07/14 - 18:41:59 | 200 |    9.938958ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:44:19 | 200 |    3.098958ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:44:19 | 200 |    1.969667ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:44:19 | 200 |    6.855708ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 18:44:21 | 200 |    1.432625ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:44:26 | 200 |   13.758334ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:44:26 | 200 |    8.166583ms |  192.168.50.227 | PATCH    "/task/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:44:33 | 200 |   17.428625ms |  192.168.50.227 | PATCH    "/task_batch/0d8370c9-3354-476d-b1a7-2a04e83859c0/"
[GIN] 2022/07/14 - 18:44:33 | 200 |    8.201125ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:48:04 | 200 |    7.260458ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:48:04 | 200 |    2.943666ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:48:04 | 200 |    7.757042ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 18:48:06 | 200 |    9.008834ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:48:12 | 200 |   21.378125ms |  192.168.50.227 | PATCH    "/task_batch/5cb34982-a58b-43ca-b324-60deaf611977/"
[GIN] 2022/07/14 - 18:48:12 | 200 |   10.160041ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:51:22 | 200 |    6.910041ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:51:22 | 200 |    2.764666ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:51:22 | 200 |    8.244417ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 18:51:24 | 200 |    1.746958ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:51:29 | 200 |    8.697208ms |  192.168.50.227 | POST     "/task_batch/create/"
