[GIN] 2022/07/16 - 13:54:11 | 200 |    3.467084ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 13:55:18 | 200 |    3.642167ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 13:55:18 | 200 |    4.167208ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 13:55:18 | 200 |   12.218625ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 14:01:16 | 200 |    8.402833ms |  192.168.50.227 | GET      "/auth/refresh/"
[GIN] 2022/07/16 - 14:01:16 | 200 |    7.691208ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/16 - 14:01:16 | 200 |    5.137125ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 14:01:16 | 200 |       4.368ms |  192.168.50.227 | POST     "/device_data/"
[GIN] 2022/07/16 - 14:01:16 | 200 |    2.803333ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:02:05 | 200 |   83.561667ms |  192.168.50.227 | POST     "/auth/login/"
[GIN] 2022/07/16 - 14:02:05 | 200 |    5.473625ms |  192.168.50.227 | GET      "/auth/refresh/"
[GIN] 2022/07/16 - 14:02:05 | 200 |    2.398041ms |  192.168.50.227 | GET      "/user/rishabh2791/"
[GIN] 2022/07/16 - 14:02:05 | 200 |    2.730625ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 14:02:05 | 200 |    2.727292ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 14:02:05 | 200 |    5.504083ms |  192.168.50.227 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/07/16 - 14:02:05 | 200 |    1.567792ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:02:05 | 200 |    1.351459ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:02:05 | 200 |    1.380458ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:02:05 | 200 |    1.517875ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:02:05 | 200 |    9.965375ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 14:02:05 | 200 |    1.752542ms |  192.168.50.227 | POST     "/sku_speed/"
[GIN] 2022/07/16 - 14:02:05 | 200 |    3.023584ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 14:04:05 | 200 |    9.719958ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 14:04:05 | 200 |       5.962ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 14:04:05 | 200 |    2.877459ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:04:05 | 200 |    3.299958ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:04:05 | 200 |    1.638417ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:04:05 | 200 |    2.580667ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:04:05 | 200 |   11.625666ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 14:04:05 | 200 |    1.759041ms |  192.168.50.227 | POST     "/sku_speed/"
[GIN] 2022/07/16 - 14:04:05 | 200 |    4.007792ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 14:06:05 | 200 |     2.84875ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 14:06:05 | 200 |    3.766542ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 14:06:05 | 200 |     1.46325ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:06:05 | 200 |    2.862083ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:06:05 | 200 |    1.793625ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:06:05 | 200 |    1.714875ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:06:05 | 200 |   12.430125ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 14:06:05 | 200 |    1.878083ms |  192.168.50.227 | POST     "/sku_speed/"
[GIN] 2022/07/16 - 14:06:05 | 200 |    3.966167ms |  192.168.50.227 | POST     "/device/"
