[GIN] 2022/07/28 - 13:19:47 | 400 |         681µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       623.4µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |         711µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       717.5µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       591.2µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       987.8µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       598.9µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |         604µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       638.5µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       680.5µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       623.7µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       638.6µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       659.1µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       716.1µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       969.4µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |         525µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |      1.3473ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |      1.0467ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |      1.1371ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |         906µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       750.4µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |      1.1619ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       950.2µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       764.7µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       995.3µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |      61.463ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |     63.1406ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |     52.8553ms |    172.30.128.1 | POST     "/sku/create/multi/"
